STT,Các kịch bản từng làm cho nhãn hàng,Mô tả sản phẩm,Chủ để,Thông tin nhãn hàng,Vấn đề của người dùng,Giai đoạn sản phẩm,Chính sách của Tiktok,Chính sách của nhãn hàng,Tone of voice,Thời lượng của kịch bản,Đối tượng hướng đến,Bố cục video,Dạng nội dung
,"Intro: Dung dịch vệ sinh của Ziaja an toàn đến mức mà lúc mình quên sữa tẩm mặt mình còn dùng nó lên mặt luôn Vậy, 

Thân: 198 bình luận nhá các bạn Nhưng mà trong tất cả các cái sản phẩm mà tôi review í, chưa bao giờ luôn Có một cái sản phẩm, có một cái nhãn hàng mà không có một ai lên tiếng để chê nó Trời ơi, đây là một cái điều mà kiểu tôi chưa bao giờ tưởng tượng nữa luôn í Hôm nay nếu các bác đang muốn mua dung dịch vệ sinh của nhà GiaGia thì tôi sẽ chia sẻ với các bác 3 cái chai này khác nhau như thế nào nha Các bạn ở nước ngoài cũng khen là dùng siêu thích và rất nổi ở các hệ thống siêu thị này Các bạn mà đã từng đi bác sĩ gia liễu cũng đã từng được kê này Hoặc là các bạn mà đi khám sản khoa luôn cũng đã từng được kê Thì còn nói gì với độ uy tín nữa các bác Đầu tiên là cái bản này là dòng hoa lam chuông, sẽ có mùi hương thơm nhẹ nhàng Và chất của nó dặn gel nên rất là mỏng, nhẹ và khô thoáng Tuy nhiên cá nhân, mình lại không thích bản này lắm Bởi vì mình cảm giác là khi mà sử dụng lên í Không biết tại sao nhưng mà nó vẫn hơi hơi ngứa í mọi người Nhưng mà Linh thường không có mua bản này đâu Nếu như là bạn nào Linh nghĩ rằng thực sự mà chưa ABC Với cả là chưa có bầu, chưa có con Thì dùng cái này nó mới phù hợp thôi Có bầu rồi, có con rồi Thì xin hãy sử dụng cái bản HA này dùm đi Em này nó rất là mềm mịn ở trên da của mình luôn Và lúc mà mình sử dụng í, nó vừa kháng phẩm tốt này Và nó không gây viêm này Bên cạnh đấy nó còn giúp cho mọi người không hề bị khô nữa Riêng chai này thì Linh rất là mê Bầu đến lúc mà để xong là Linh đã sử dụng 2 chai rồi Còn với những bà nào mà các bà rất là ngại Những vấn đề liên quan đến ngứa, giác và đỏ í Cô bé của mình đang gặp vấn đề Thì Linh nghĩ rằng cái em Latoponic này Nó sẽ giải quyết được cho mọi người Bạn này thì rất là hay ở chỗ là nó sử dụng lợi khuẩn này Cũng như là một vài cái thành phần tẩy da chết Để giúp cho làm da của mọi người nó được thô thoáng Bên cạnh đấy quan trọng nha Là em này khử mùi hôi rất là tốt 

Out: Ngày mai, ngày 3 tháng 3 Linh đang có deal độc quyền với cả nhà Zaza Để tặng cho mọi người cái deal 2 em này Với mức giá rất là rẻ Sẽ có deal dung dịch vệ sinh Cực kì, cực kì rẻ dành cho tất cả mọi người Ok, mọi người đừng quên là ấn đăng ký Và Linh hẹn gặp mọi người vào ngày mai nhá",4 dòng cream,"Độ hot của sản phẩm, review thực tế",,"Tìm kiếm sản phẩm lành tính, an toàn",Trưởng thành,,,"Hài hước, cường điệu để gây ấn tượng","50-60s, hơi dài nhưng hấp dẫn","Người thích xem review thực tế, quan tâm đến sự an toàn, lành tính của DDVS","AIDA (Attention - Interest - Desire - Action) → Tạo sự tò mò, gây hứng thú, thuyết phục, kêu gọi mua hàng","Trải nghiệm cá nhân, phản ứng cộng đồng"
,"Intro: Mình đã dùng thứ đó được 2 năm rồi, lần đầu tiên dùng mình thấy nó có bọt, thực sự mình không dùng nổi Nhưng sau 2-3 lần tiếp theo thì mình đã... 

Thân: Trong đoạn video trên là một nạn nhân bị rụ rỗ bởi một loại dung dịch dạng gel màu xanh trên tay tôi đây Thưa quý vị, được biết là loại dung dịch này sản xuất tại Ba Lan Chúng được sản xuất với quy mô lớn một cách vô cùng tinh vi Và đã đến tay nhiều người phụ nữ, đặc biệt là phụ nữ đang mang thai Vâng, bằng những thành phần như chất xuất cúc la mã, B5, Acid Lactic v.v. 

Out: Đã làm các trẻ em không thể ngưng dùng loại dung dịch này hàng ngày Bí ẩn là vậy, tuy nhiên thì sản phẩm này vẫn được mua bán tràn lan trên thị trường Còn người dân thì vẫn đâm đầu vào mua Gel vệ sinh Intimate Cúc La Mã Thành phần từ thiên nhiên, thuần chay, tạo bọt vừa phải Hương thơm cúc la mã dịu nhẹ, xứng đáng được trẻ em phụ nữ tin dùng Và đó chính là gel vệ sinh Intimate Cúc La Mã",DDVS Intimate Cúc La Mã,"Giới thiệu Intimate Cúc La Mã, nhấn mạnh thành phần tự nhiên",,Tò mò về độ hot của sản phẩm,Trưởng thành,,,"Hài hước, mang tính giải trí cao",40-50s,"Người thích xem TikTok giải trí, follower của kênh","3S (Star - Story - Solution) → Dẫn dắt bằng nhân vật chính, kể câu chuyện thú vị, đưa ra giải pháp","Giả lập, giải trí"
,"Intro: Đây là lần thứ 2 tôi đi khám lại cô bé và nhận được kết quả. Cảm ơn em bình thường nhé.

Thân: Ôi vui quá đi mất mọi người ơi Thôi khỏi rồi Lần trước ta đi khám nhận được kết quả cô bé đang gặp vấn đề Mà lo lắm luôn ý Xong rồi được gây đơn với khuyên dùng NZ Ava bỏ sồi này nè Em này thì hỗ trợ cho cô bé đang gặp vấn đề rất là tốt nhá Bình phần thịt thuần chay có chất sức bỏ sồi hỗ trợ làm dịu vấn đề cô bé Dùng một thời gian thì thấy kết quả vậy là tôi mừng lắm rồi Chai cũ hết rồi này Giờ mua thêm chai mới để dùng nữa Em này thì có thể dùng hàng ngày nha mọi người Đừng lo là chỉ gặp vấn đề cô bé mới dùng được Mà là ai đang trong trục thì dùng râu Hoặc là tụi nó đang ở đúng nơi kiếm bảng kinh thì cũng dùng đúng nữa Riêng tôi thì tôi và em này hỗ trợ vấn đề cô bé của tôi rất là ok nhá

Out: Mấy bà thử dùng em này đi Thì lại mê giống tôi ý",Intimate Vỏ sồi,Hành trình cải thiện sức khỏe vùng kín,,Lo lắng khi gặp vấn đề sức khỏe vùng kín,Trưởng thành,,,"Gần gũi, chân thật","50s, phù hợp",Người đang gặp vấn đề về sức khỏe vùng kín,"PAS (Problem - Agitation - Solution) → Nêu vấn đề, nhấn mạnh cảm xúc, đưa ra giải pháp","Hành trình cá nhân, chia sẻ thật"
,"Intro: Đã hết! Đã mua mới! Dùng em này bao lâu nay? 

Thân: Giờ tôi mới biết là chị Hà Linh cũng đã dùng hàng 4 năm rồi Và có rất nhiều người đã mua đi mua lại sản phẩm như tôi Nên số lượt bán mới lên đến cùng này đấy Lại còn có vô vàn đánh giá tốt nữa Thực sự quá uy tín Mấy bà nào mà chưa dùng em này thì phải thụi ngay đi Em Hoa Lan Chuông này có chất geo, rất là thiết kiệm Dùng được hàng ngày dành cho đa số cô bé Kể cả cô bé nhạy cả mùa hè đi du lịch quên công an sữa tắm Tôi còn lấy em này tắm luôn cơ Do có thành phần vegan organic, an toàn và lành tính Để mấy bà yên tâm nhé Dùng xong cô bé ẩm mịt Lại còn có thương Hoa Lan Chua thơm nhẹ nữa Nói nhỏ nhá, người yêu tôi mê cái mùi này lắm 

Out: Bà nào mà chưa dùng thử cái chai này Hay là đang có chai du dịch vệ sinh sắp hết thì mua ngay em này đi",Intimate Hoa Lan Chuông,Trải nghiệm người dùng lâu dài,,Tìm kiếm sản phẩm phù hợp lâu dài,Trưởng thành,,,"Chân thật, gần gũi",45-50s,"Người thích review thực tế, đang gặp vấn đề tương tự",Before-After → So sánh trước và sau khi dùng sản phẩm trong thời gian dài,"Review cá nhân, trải nghiệm dài hạn."
,"Intro: Vấn đề này hơi nhạy cảm một xíu, nhưng mà cả các bạn nam và các bạn nữ đều nên xem nhé, xem để mà hiểu nỗi khổ của các bạn nữ. 

Thân: Có lẽ bạn nữ nào cũng đã ít nhất một lần trong đời gặp tình trạng bất thường, nó vô cùng ngáy và mùi rất là khó chịu. Thưa kể, đi vệ sinh cũng rất là đau buốt, và điều đáng sợ nhất là nó có thể tái bệnh rất nhiều lần. Mình cũng từng phải đi khám đặt thuốc các thứ, và cũng may mắn biết được em Zia ra này. Mình nghĩ là chai này đã quá quen thuộc với các chị em rồi, vì em nói được hội phụ sản huyên dùng. Trong đây thì chứa hyaluronic acid, thuốc giữa ngập và làm sạch sâu, nên rất phù hợp để các chị em dùng hàng ngày. Em này có một mùi hương khá là nhẹ nhàng và dễ chịu. Sau khi sử dụng chai này thì mình thấy là cô bé được cải thiện khá là rõ rệt, không còn bị ám mùi hôi như trước nữa. 

Out: Nói chung là có vô vàn nguyên nhân có thể khiến cô bé bị tổn thương, nên hãy chăm chỉ vệ sinh cô bé và thay quần con mỗi ngày để cô bé luôn được khỏe mạnh và thơm tho nhé.",Chai HA xanh đậm,"Câu chuyện về sức khỏe vùng kín, kêu gọi ý thức vệ sinh",,"Bất tiện, khó chịu do vệ sinh không đúng cách",Trưởng thành,,,"Tâm sự, nhẹ nhàng",50s,"Cả nam và nữ, giúp nâng cao nhận thức","HHH (Hook - Help - Hero) → Gây sự chú ý, cung cấp giải pháp, làm nổi bật nhân vật chính","Chia sẻ kinh nghiệm, nâng cao nhận thức"
,"Intro: Có mỗi chai sữa tắm cô bé thôi mà bác sĩ, KOL, KOC, người người nhà nhà đều sử dụng Để mình test xem nào 

Thân: Đây là 3 gióng HA, LA và phiên bản hồng của Ziaza Intimate Về cảm quang thì 3 chai này đều có dạng kem lỏng, có mùi nhẹ nhẹ giống mùi phấn rôm, không nồng, rất dễ chịu Cả 3 chai thì đều đã được kiểm nghiệm da liễu, chứng nhận vegan Chai xanh nhạt chứa Lactobionic Acid giúp giảm nhẹ tình trạng cô bé có vấn đề Chai xanh đậm chứa Hyaluronic Acid giúp tốc ẩm sâu cho cô bé Chai hồng chứa Lactic Acid nặng đô hơn xanh nhạt giúp giảm mùi, tủng cố lợi khuẩn, giàn tình trạng vấn đề của cô bé Sản phẩm tạo bọt dùng song thế nhẹ nhàng, ẩm mà thoáng, thích cực kỳ luôn 

Out: Đã trải nghiệm và đúng như những gì mình mong đợi, cảm thấy sẽ cũng đáng bỏ tiền ra cho chị em lên sản phẩm bảo giới này nhé","3 dòng HA, LA, Hồng","Review sản phẩm, hướng dẫn lựa chọn",,Không biết chọn loại nào phù hợp,Trưởng thành,,,"Khoa học, rõ ràng, hướng dẫn chi tiết",45s,Người mới tìm hiểu sản phẩm,"FAB (Feature - Advantage - Benefit) → Đặc điểm, lợi ích, giá trị thực tế",Tư vấn chọn sản phẩm
,"Intro: Thời gian qua, lợi dụng sự yêu thích của khách hàng dành cho sản phẩm.Nhiều bên đã tung ra thị trường vô số hàng giả têm chính hàng Gắn mắt hàng xích tay kèm thông tin nèo lái dư luận về nguồn gốc xuất xứ 

Thân: Bản chất thì Intima cũng không hoàn toàn là hàng fake Nhưng do không có giấy tờ kiểm chứng nên rất dễ bị trà trốn Về tờ giấy tờ cảnh báo rồi đấy Intima có siêu nhiều hàng phá kè và không có cách nào để chứng minh hàng thật giả Với Intima không được dặn chuyển, phân phối chứng ngạch về Việt Nam Không có giấy tờ chứng minh nguồn gốc xuất xứ, không có cả tên chống hàng giả luôn Thế nên là các bạn lưu ý này, phải biết chọn mặt gửi vàng Chọn sóc chính hãng an toàn để mua hàng Cô em phải khỏe mạnh thì cô chị biết tự tin được chứ Một chai Intima hàng thật thì sẽ có để đủ 3 tên Thứ nhất là phần nắp có tên nhâm yết Thứ 2 ở phần cạnh có tên chống hàng giả có dấu của Bộ Công an Và thứ 3 ở phần đằng sau lưng sẽ có tên phụ tiếng huyện có chứa thông tin của sản phẩm 

Out: Chị em nhớ nhá, không mua hàng, không dẫu nguồn gốc xuất xứ Không cắt tay cho kẻ xấu gây hại sức khỏe cho chị em",Tập trung vào cảnh báo,Cảnh báo hàng giả,,Lo ngại mua phải hàng kém chất lượng,Trưởng thành,,,"Cảnh báo, nghiêm túc",khoảng 50s,Người đang tìm mua sản phẩm,"ACCA (Awareness - Comprehension - Conviction - Action) → Tạo nhận thức, giải thích, thuyết phục, kêu gọi hành động","So sánh, kiểm chứng"
,"Intro: 36.000 lượt bán, 4.3.000 lượt đánh giá Thì mình tìm hiểu xem là điều gì tạo nên độ hot của em này giữa thị trường đầy dẫy các sản phẩm sữa tắm cô bé nhé 

Thân: Thứ nhất là làm sạch và cất ẩm cực tốt Khi mà chúng ta tìm các sản phẩm làm sạch chỗ đó thì tâm lý chị em thường có chung một câu hỏi như thế này Dùng xong thì cô bé có bị hạn hàn không? Từ đó thì mình mới biết là em xanh đậm 80m nhà Gia Gia là chân ái vì đáp ứng được tốt tất cả các yêu cầu của chị em Sản phẩm trừa Alatoni và Pathenol giúp dựa ẩm, làm mềm vùng da cô bé sau khi sử dụng đem lại cho chúng mình cảm giác dịu nhẹ Em này còn có hyaluronic acid hỗ trợ duy trì độ ổn định pH, giúp củng cố hệ kháng khuẩn tự nhiên Cô bé của chúng ta phải xanh xẽ mới hạn chế được việc cô bé có mùi khó chịu hay các vấn đề của em nó Thứ 2 là an toàn MTM xanh đậm này chính là pet xe lùi của nhà Gia Gia Hãng sản xuất dùng yếp phẩm lớn và uy tín tại Ba Lan Những sản phẩm của hãng đều có chủ nghiệm thuyên nhân về gần Thế nên mẹ bầu hay sau sinh cứ yên tâm sử dụng em nó nhé Khi về Việt Nam thì em nó còn được hội phụ sản Việt Nam khuyên dùng Đi kiểm tra thì chị em đều được giới thiệu là mua chai này để chăm sóc cô bé khỏe mạnh đấy Thứ 3 là chất lượng Intimate Official Store tự tin là đơn vị phân phối chính hãng sản phẩm Intimate Gia Gia tại Việt Nam Thế nên là chọn sản phẩm cho mùi nghĩa cảm 

Out: Chị em phải đặc biệt lưu ý chọn nơi uy tín để mua nhé Chúng mình í thì có gắn lên sản phẩm ở đây nè",Chai HA xanh đậm,Giải thích lý do sản phẩm bán chạy,,Nghi ngờ về sản phẩm có thực sự tốt không,Trưởng thành,,,Khách quan,45s,Người đang cân nhắc mua sản phẩm,"QUEST (Qualify - Understand - Educate - Stimulate - Transition) → Đặt vấn đề, giải thích, thúc đẩy hành động",Kiểm chứng
,"Intro: Phụ nữ họ sẽ ngoan ngoãn, tự giác, cởi bỏ quần, nằm lên giường đợi bạn 

Thân: Nếu như bạn là bác sĩ sản phục khoa có bằng cấp và chuyên môn đầy đủ Và đây là thứ giúp mình chia tay với chuỗi ngày khổ sở phải đi gặp bác sĩ Nhưng cũng là lý do khiến mình phải đi gặp bác sĩ Ai cũng biết đây là 2 chai cùng màu màu xanh nhạt của nhà diễn ra dành cho các cô bé đang gặp bệnh viện Nhìn thì có vẻ đúng nhau, nhưng 1 chai là phát tính và 1 chai là tính tình Vậy, nếu là phát tính, trải nghiệm của mình cực kì dễ khi dùng với chai này Rửa xong bị rít và hơi khô, mùi thì gần giống chai Intimate Nhưng có hắt hơn 1 chút, các vấn đề trở nên nặng hơn, không có dấu hiệu thuyên giảm Chai phát tính thì rẻ hơn chai cứu tinh tận 1 nửa Nhưng dùng xong là bay luôn tận mấy triệu tiền đi khám phục khoa Thế có đáng không? Mình không dám khẳng định là chai Intima này có phải hàng giá hay không Nhưng có thêm tiền mua Intimate ở trên trang phân phổ chính hãng Intimate Store Thực sự cảm giác hắt bọt hẳn, khỏe mại, sạch sẽ, thơm thoáng Là 3 cụ từ mà mình dùng để miêu tả cảm giác sau khi sử dụng em này Hiểu, rửa xong, không bị khô rít, không bị gặp các vấn đề khó chịu như trước nữa Trong này có chứa thành phần Lactobionic Acid Một loại acid thế hệ mới, có khả năng làm sạch tốt, củng cố hệ bi khuẩn có lợi Ngoài ra, Acid Lactic và Pro-Vitamin B5 Cũng là 2 thành phần đóng vai trò không nhỏ trong việc duy trì cân bằng độ pH Giữ lại độ ấm tự nhiên trong khuôn tăm xác Em này được đông đảo các chị em lựa chọn và được Hội Sạch Sản Việt Nam khuyên dùng Đánh giá sau trải nghiệm của người dùng cũng rất tốt, nên mình cực kỳ yên tâm Nhưng hưu ý, đây là loại dành cho các bác đang có vấn đề 

Out: Các bác đã hết vấn đề rồi, thì chuyển sang cái chai màu xanh đậm này nhé Nhớ, tiền ít hay nhiều không quan trọng Đừng để tiền mất đợt mang giống mình nhé",Chai LA: xanh nhạt,So sánh sản phẩm chính hãng và hàng giả,,Lo ngại về chất lượng sản phẩm trôi nổi trên thị trường,Trưởng thành,,,"Giật gân, thu hút sự chú ý",50s,Người muốn mua sản phẩm chính hãng,"SLAP (Stop - Look - Act - Purchase) → Thu hút, tạo chú ý, thúc đẩy mua hàng chính hãng","Cảnh báo, so sánh thực tế"
,"Intro: Chị dùng Intimates của Ziaja Dùng loại Ziaja Intimates 

Thân: Loại này được Hội Phụ Sản khuyên dùng mà Này thì mình dùng được 2-3 năm rồi Thì loại này giúp giữ ẩm rồi dùng xong không bị khô Chị dùng loại này vì hồi trước chị đi khám người ta khuyên dùng Từ năm ngoái đến năm nay vẫn dùng loại đấy thôi Lành tính, dịu nhẹ và được Hội Phụ Sản Việt Nam khuyên dùng Là những lý do khiến cho các mẹ bầu ở công ty mình Đều tin tưởng lựa chọn sử dụng cái Intimates Cream này của nhà Zia Zaa Tô bé thì vốn đã rất nhạy cảm Nhưng khi có bầu hay là sau sinh thì càng dễ có những vấn đề bất thường hơn Nên rất cần loại dùng dịch vệ sinh an toàn và dịu nhẹ Trái Zia Zaa này thì sẽ hỗ trợ cho các măm đang gặp tình trạng khó chịu Do có Lactobiodic Acid, em nó sẽ hỗ trợ làm sạch, làm dịu Giúp các măm có cảm giác thoải mái và dễ chịu hơn Chất creamy tạm bọt êm trên da, độ pH thì phù hợp Nên khi sử dụng xong vẫn giữ được độ mềm mại, không bị khô kiên kít đâu nha Các mẹ có thể yên tâm sử dụng từ khi bầu đến sau sinh nhé Và có một cái lưu ý đặc biệt nữa cho tất cả các măm này 

Out: Đấy là để đảm bảo sức khỏe của bản thân thì tất cả chúng ta rất nên sử dụng hoàn chính hãng nha Mình có để link cái sản phẩm này ở góc trái màn hình đấy","Nhấn mạnh Ziaja Intimate Cream dành cho mẹ bầu, sau sinh.: Lactobionic Acid giúp làm sạch, làm dịu, hỗ trợ cân bằng độ pH","Nhấn mạnh vào nhóm mẹ bầu và sau sinh, tạo sự tin tưởng",,"Mẹ bầu, phụ nữ sau sinh thường gặp tình trạng khô rát, khó chịu vùng kín.
Cần một sản phẩm an toàn, lành tính, đã được kiểm chứng",Trưởng thành,,,"Gần gũi, chân thực, đáng tin cậy.
Mang tính tư vấn, chia sẻ kinh nghiệm hơn là quảng cáo trực tiếp",50s,"Phụ nữ mang thai, sau sinh, hoặc người muốn tìm sản phẩm dịu nhẹ cho vùng kín",Before-After (So sánh trước và sau khi dùng sản phẩm),Trải nghiệm cá nhân (Personal Storytelling)
,"Intro: Intimate hay Intima hiện tại vẫn đang là một vấn đề cực kì nhức nhối Mà dù thế nào thì vụ việc này cũng đẩy ra một đống drama liên tiếp Có drama thì mình cũng ngồi đây để hóng thôi 

Thân: Chẳng là chị này có lên một video cảnh báo Intima là hàng giả đấy Mọi người đừng có mua Cũng vạ miệng mà chưa có tìm hiểu Nên là một chị khác có tìm hiểu hơn Và lên video với lời lẽ đánh thép Mà có khi không làm beauty thì chị này còn làm vật sư được Phảng định là dù có ma hay là vết thì đều là hàng ảo Chỉ có điều là ma dễ làm giả hơn mét thôi Đất tóm tắt drama chỉ đơn giản thế thôi Nhưng mà đọc xong thì cũng giải trí phép Nhất lại là sản phẩm dành riêng cho cô bé nữa thì được mọi người quan tâm rất nhiều Mà các bạn có để ý là drama nóng thì luôn đến từ những người có số có má không? Thì con này cũng vậy thôi Sản phẩm quá hot, lượt bán, quá khủng Thì mới nổ ra một cuộc tranh luận dài đến thế Chứ không phải là do chị thứ 2 đã từng review bản Intima à? Chúng khác nhau là một bản hàng nội địa sách tay Không có pinline, không có giấy tờ chứng minh nguồn gốc Nên rất dễ bị pha trội Còn một bản là hàng nhập khẩu chính ngạch Bao kiểm cho mọi người Sản này thì là một thương hiệu rực mỹ phẩm đến từ Ba Lan Các sản phẩm của nhà này thì được mọi người yêu thích Vì sự an toàn và êm dịu cho làn da Cùng với chất xuất từ thiên nhiên lành tính An toàn cho môi trường Đặc biệt là được Hội Phụ Sản Khoa Việt Nam khuyên dùng Thế luôn bao giờ đi kiểm tra định kỳ cũng được bảo dùng em này Cả hai bản thì đều có thành phần Patenoi và Allantoin Lactic Acid đều là làm mềm, làm dịu Và củng cố hệ vi khuẩn tự nhiên Khác nhau ở bản mình đang dùng màu xanh đậm Có Hyaluric Acid, tưỡng ẩm, làm mềm Còn bản xanh nhạt thì mình hay thấy được khuyên dùng Với những bạn gặp vấn đề với cô bé Và giá thì có đôi phần nhỉnh hơn Để mình nói về cảm nhận thì không có từ ngữ nào Có thể miêu tả về sự sạch sẽ, thoải mái Và dễ chịu khi dùng gia gia Không có khác gì một ad dung dịch vệ sinh quốc dân của các chị em đâu Drama thì cũng đáng để hóng đấy 

Out: Nhưng mà thay vì cứ nhờ mua sách tay này kia cho xa xôi Thì mọi người nên tham khảo những điểm bán uy tín Bó cần hơn nữa thì mọi người cứ mua Intimate cho chắc ăn Bởi vì...","- HA: hỗ trợ cung cải thiện tình trạng cô bé bị khô
- LA: hỗ trợ cải thiện cô bé có vấn đề","Drama tranh luận về hàng thật - giả, tạo sự tò mò, lôi cuốn người xem.
 Tóm tắt tranh cãi trong cộng đồng, hướng dẫn chọn sản phẩm chính hãng",,"Hoang mang giữa giá thành, nguồn gốc của 2 dòng này",Trưởng thành,,,"nghiêm túc, thẳng thắn, Hài hước, châm biếm nhẹ, gây chú ý",hơn 1 phút,"khách hàng quan tâm đến dung dịch vệ sinh, cụ thể là Ziaja Intimate","3S (Star - Story - Solution) → Dẫn dắt bằng drama (câu chuyện), kể lại diễn biến, đưa ra giải pháp (chọn mua hàng chính hãng)","Drama - Tranh cãi (Gossip, Trendjacking)"
